time,date,text,current_date
00:23:49,1717673781.0,尸体可能是真的，矿场能买到,2024-06-06 19:36:21
00:23:53,1717646791.0,这波演员挺辛苦啊,2024-06-06 12:06:31
00:28:00,1717644203.0,印第安人：令人摸不着头皮,2024-06-06 11:23:23
00:19:28,1717644851.0,《宰客》孙二娘限定版,2024-06-06 11:34:11
00:33:04,1717644692.0,故事结束了，朋友。,2024-06-06 11:31:32
00:19:46,1717648814.0,等等，坟景无窗是个东西？,2024-06-06 12:40:14
00:23:10,1717645010.0,旧世纪西部主题乐园,2024-06-06 11:36:50
00:07:54,1717644359.0,《镇长不住在镇上》,2024-06-06 11:25:59
00:22:13,1717643796.0,亚瑟:这个我有办法,2024-06-06 11:16:36
00:27:17,1717647266.0,《边际收益递减趋零》,2024-06-06 12:14:26
00:32:48,1717645505.0,我艹，居然有点感动,2024-06-06 11:45:05
00:19:51,1717644193.0,《英棒》,2024-06-06 11:23:13
00:06:51,1717643281.0,在不出意外的出意外的情况下居然出了意外，何尝不是一种出了意外,2024-06-06 11:08:01
00:25:24,1717646364.0,话说要是有带手枪的见义勇为的乘客怎么办？,2024-06-06 11:59:24
00:21:41,1717645084.0,西部影视城,2024-06-06 11:38:04
00:33:57,1717650150.0,一场暴雨冲毁了近在眼前的希望,2024-06-06 13:02:30
00:20:06,1717645322.0,印度人：大胆！,2024-06-06 11:42:02
00:26:59,1717646929.0,《边境与移民法案》,2024-06-06 12:08:49
00:17:37,1717644689.0,既然旅客们喜欢刺激的，绑架就很适合他们呀！,2024-06-06 11:31:29
00:34:34,1717648559.0,那个匿名买家不会也是以前镇民的后代吧我到希望是,2024-06-06 12:35:59
00:21:54,1717644488.0,这真是秦始皇跳影流之主——三赢啊,2024-06-06 11:28:08
00:28:44,1717643672.0,《大脑升级》,2024-06-06 11:14:32
00:32:27,1717644974.0,一个荒诞中有点温馨的故事,2024-06-06 11:36:14
00:31:57,1717649166.0,资源型城市的悲哀,2024-06-06 12:46:06
00:24:27,1717644400.0,《哈兰德》,2024-06-06 11:26:40
00:33:43,1717648686.0,这个故事可以写成剧本拍出来,2024-06-06 12:38:06
00:34:27,1717647702.0,也许那个匿名买家就是当年旅馆老板阿尔文的后代，在晚了130多年后，他完成了对塞克斯顿的承诺，而此时他们早已在天堂和那些居民一起重建他们小镇,2024-06-06 12:21:42
00:34:22,1717647069.0,这才叫三代人的奉献,2024-06-06 12:11:09
00:26:20,1717644300.0,《采访可汗图》,2024-06-06 11:25:00
00:11:17,1717643822.0,甲乙两队同时开工,2024-06-06 11:17:02
00:21:58,1717644034.0,《直了》,2024-06-06 11:20:34
00:34:42,1717645002.0,那个匿名买家不会也是以前镇民的后代吧我到希望是,2024-06-06 11:36:42
00:32:20,1717646527.0,他只是想让这个家能存在下去,2024-06-06 12:02:07
00:01:31,1717643064.0,《西 部 大 开 发》,2024-06-06 11:04:24
